name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err,Sr,err,Mn,err,Y,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps],88,[cps],55,[cps],89,[cps]
FCTB-4,0.0545,166.1,120.5,,0.5595,0.0042953463,86815.48296875,1546.8158024914,178924.21671875,2499.2629110086,1373099.6778125,51733.0266265277,16921252.4810156,1317914.44479211,610681.202968749,198843.383413981,178197.982890625,15809.3920458957,118822.3859375,1439.6741148681,164373.72328125,2406.8042417577,192157.3490625,2700.6988643846,1620253.0834375,37889.9713781939,4421721.38546875,134402.463131483,1904846.46195312,56774.2737419151
FCTB-5,0.0545,213,129.8,,0.9053,0.006661081,179950.84265625,2424.9029850352,292480.51921875,3507.806246487,1940971.55640625,80349.5184644451,25588226.8566406,1547689.39568898,683501.215468749,187511.616909094,161138.746484375,15486.5247482413,176998.325,1986.402661124,164936.63015625,2357.1233818213,194952.44859375,2526.405619407,2134751.4884375,63200.3783608731,6157062.0190625,203910.553047683,2810004.98117188,81861.0944341711
FCTB-6,0.0566,157.4,112,,0.3251,0.0027513633,72746.70859375,1243.6522322781,136085.92609375,1701.6447611291,954962.72875,40224.9762079719,12111338.6407031,469880.967469957,855135.85859375,234097.870037975,155503.408359375,17729.1083649079,92776.5840625,1116.8713048011,170807.54890625,2687.5931306661,199965.5421875,2508.8576744176,1163657.72640625,34961.4311956883,3093434.1915625,130896.911803552,1362252.74632813,46396.8950913556
FCTB-7,0.0552,185.3,113.6,,0.3912,0.003132092,71693.69296875,1171.427353113,168695.58875,2114.8997181813,1155467.0775,57952.7261840705,15313539.5664844,875399.523427133,633417.24046875,203999.450818649,187468.007265625,17891.610027356,98594.2487500001,1358.6593452236,167556.31546875,2695.2953301049,198415.8615625,2936.3801190296,1230563.69796875,39482.0176924254,3775823.3240625,103371.529648587,1559731.14789062,50381.5845803244
FCTB-8,0.056,163,107.1,,0.4331,0.0034205263,65749.52953125,1012.6507284138,126709.99359375,1335.736404003,1018794.55359375,52364.8825224336,12603149.1491406,800780.356424941,778111.1696875,787514.534353219,152084.983046875,18299.4979770915,76107.64390625,1180.4597286659,170306.56828125,2676.0800210925,198682.9259375,2804.4435922123,1052457.735625,28864.4113773583,3689942.40203125,157364.561326135,1200592.95992187,33886.6789184364
B7-1,0.0557,138.3,83.6,,1.0493,0.007566373,16415.98453125,381.6676836956,16445.1171875,400.5849618241,35891.249375,5880.2273749943,342936.373671875,68567.0621021981,607585.9590625,208202.457880687,58037.0874218752,15319.3449414649,10823.4884375,300.3747198545,165369.35078125,2534.1328802447,196666.35890625,1972.136423265,12027.045625,6158.7248894867,363214.77875,22358.8931678496,412291.450546875,15321.5302768839
B7-2,0.0566,130.7,80.9,,0.9154,0.0065764732,12094.32953125,338.5254833315,11318.6003125,676.4426733696,36521.40296875,5498.3139561726,55275.5133593749,93588.6895830881,569937.65875,193317.226609581,141817.511484375,15335.659372292,1154.10171875,93.8141745907,171375.9821875,2713.3089920585,200393.753125,2826.2680279,12821.26203125,4738.6490546503,164699.92125,12323.3656771394,53841.210078125,3391.497873625
B7-3,0.0562,193.2,75.6,,1.6963,0.012240915,22292.68515625,498.8030130317,59570.02859375,983.5640230126,39484.6009375,4386.9090181734,40374.7466406249,74237.5088323998,555700.743437501,181323.346284394,118985.444921875,15544.7644043128,1651.954375,127.735090465,170371.545625,2654.7324427071,198881.70125,2435.2786541869,194467.81296875,10877.8851421848,159598.25078125,10845.8051308376,104219.582734375,4364.0400819722
B7-4,0.0561,175.6,74.2,,0.8269,0.0059841457,33542.80453125,594.4345789225,46090.815625,702.7253579805,22202.621875,4377.7302536168,187272.850859375,64823.9876994228,574590.5365625,200966.69464963,78251.9308593749,15239.0951675812,7950.746875,254.1472135936,171922.47578125,2719.9322293027,202432.375625,2557.3228445977,13140.88484375,5401.928548433,39974.49390625,8028.5092383505,280991.717890625,9637.6128672784
B7-5,0.0558,168.7,80.5,,0.493,0.0038078866,11445.4171875,363.9873824975,9690.0275,302.771188445,-1808.64515625,2695.8827786495,46756.214765625,74926.0404087791,528856.8471875,203929.346702172,47045.2153906252,14113.4859747056,1861.9375,133.8490664772,169092.396875,2407.2387578849,200562.641875,2286.9734709949,-37274.9990625,4856.1516278372,14037.58390625,6906.2778680657,62825.982109375,4349.4131223753
B8-1,0.0557,226.9,96.8,,0.2187,0.0021023796,169506.5134375,2461.4049321902,45332.49390625,669.3624326169,1287564.55921875,69044.1439170245,17374691.2969531,1299161.67432339,530134.984062501,177773.224845981,32916.2399218751,14009.2831367957,203557.95828125,2295.5758793214,169637.10265625,2588.4416992274,199630.73515625,2561.4918493306,474477.9325,21176.722892164,16404813.6701563,620903.201050676,6076035.91617188,162621.382525556
B8-2,0.0559,238.1,89.7,,0.2336,0.0021931712,155436.09046875,2760.3065206819,43750.00375,742.8355561459,1103713.2084375,59524.3000296234,14809641.1417969,965022.934253941,546683.41640625,175312.895024554,85660.4386718753,16002.9292277224,172646.608125,2243.5892071948,171666.38265625,2616.6358334745,203808.6453125,2763.4504426038,300673.5440625,13259.3864298779,13243712.7578125,418003.200109593,5585273.98539062,144464.803294318
B8-3,0.0562,194.8,94.1,,0.2098,0.0020124612,133523.80546875,1994.5141178281,57507.78609375,993.609439723,1384624.97296875,61477.4451530026,17888122.7296094,1261824.60959915,873355.9484375,229497.17261386,122059.819765625,16116.1195532394,255010.314375,2795.2927353513,172293.165625,2432.5135693847,201636.62765625,2498.5702629321,481961.92921875,18150.2597964983,21907878.36875,761316.581567807,8462162.37414062,237725.645708675
B8-4,0.0556,192.5,96,,0.1242,0.0015811388,89626.03921875,1503.0073754905,11781.57734375,334.8939486921,977843.07078125,43446.7727558241,12772868.7699219,880951.10632141,506547.90078125,176177.479819847,105989.945546875,15697.0343318734,90933.6640625,1333.5596903594,169972.43640625,2711.9100810404,197721.39515625,2453.159451666,278086.96109375,13868.4771310616,11630623.7564063,484074.913611847,3074138.56835938,75261.2153855757
